10631,CHICKEN SOUP FOR THE SOUL CHRISTMAS TREASURY FOR KIDS,Jack Canfield,YES,1,Short Stories Inspirational,1.19,62,src\ImagesOthers\bookpic2.jpg
10632,CHICKEN SOUP FOR THE SOUL HEALTHY LIVING SERIES: WEIGHT LOSS,Jack Canfield,YES,18,Short Stories Inspirational,1.91,100,src\ImagesOthers\bookpic2.jpg
10633,CHICKEN SOUP FOR THE CAT AND DOG LOVER'S SOUL,Jack Canfield,YES,13,Short Stories Inspirational,2.11,51,src\ImagesOthers\bookpic2.jpg
10634,CHICKEN SOUP FOR THE SOUL: COUNT YOUR BLESSINGS,Jack Canfield,YES,13,Short Stories Inspirational,1.5,78,src\ImagesOthers\bookpic2.jpg
10635,CHICKEN SOUP FOR THE SOUL CREATE YOUR BEST FUTURE,Jack Canfield,YES,15,Short Stories Inspirational,4.18,79,src\ImagesOthers\bookpic2.jpg
10636,"CHICKEN SOUP FOR THE SOUL ""THE DATING GAME""",Jack Canfield,YES,19,Short Stories Inspirational,3.23,94,src\ImagesOthers\bookpic2.jpg
10637,CHICKEN SOUP FOR THE DENTAL SOUL,Jack Canfield,YES,4,Short Stories Inspirational,2.19,0,src\ImagesOthers\bookpic2.jpg
10638,CHICKEN SOUP FOR THE DIETER'S SOUL,Jack Canfield,YES,22,Short Stories Inspirational,2.8,31,src\ImagesOthers\bookpic2.jpg
10639,CHICKEN SOUP FOR THE SOUL:DIVORCE AND RECOVERY,Jack Canfield,YES,5,Short Stories Inspirational,4.31,25,src\ImagesOthers\bookpic2.jpg
10640,CHICKEN SOUP FOR THE SOUL: THE DOG DID WHAT?,Jack Canfield,YES,19,Short Stories Inspirational,2.31,11,src\ImagesOthers\bookpic2.jpg
10641,CHICKEN SOUP FOR THE DOG LOVER'S SOUL,Jack Canfield,YES,18,Short Stories Inspirational,4.47,27,src\ImagesOthers\bookpic2.jpg
10642,CHICKEN SOUP FOR THE SOUL: DREAMS AND PREMONITIONS,Jack Canfield,YES,17,Short Stories Inspirational,2.55,66,src\ImagesOthers\bookpic2.jpg
10643,CHICKEN SOUP FOR THE ENTREPRENEUR'S SOUL,Jack Canfield,YES,24,Short Stories Inspirational,2.79,28,src\ImagesOthers\bookpic2.jpg
10644,CHICKEN SOUP FOR THE SOUL EMPTY NESTERS,Jack Canfield,YES,21,Short Stories Inspirational,1.08,42,src\ImagesOthers\bookpic2.jpg
10645,CHICKEN SOUP FOR THE EVERY MOM'S SOUL,Jack Canfield,YES,24,Short Stories Inspirational,1.13,25,src\ImagesOthers\bookpic2.jpg
10646,CHICKEN SOUP FOR THE EXPECTANT MOTHER'S SOUL,Jack Canfield,YES,18,Short Stories Inspirational,1.08,44,src\ImagesOthers\bookpic2.jpg
10647,"CHICKEN SOUP FOR THE SOUL ""FAMILY MATTERS""",Jack Canfield,YES,25,Short Stories Inspirational,3.97,47,src\ImagesOthers\bookpic2.jpg
10648,CHICKEN SOUP FOR THE FATHER'S SOUL,Jack Canfield,YES,4,Short Stories Inspirational,2.77,80,src\ImagesOthers\bookpic2.jpg
10649,CHICKEN SOUP FOR THE FATHER AND DAUGHTER'S SOUL,Jack Canfield,YES,2,Short Stories Inspirational,1.38,33,src\ImagesOthers\bookpic2.jpg
10650,CHICKEN SOUP FOR THE FATHER AND SON'S SOUL,Jack Canfield,YES,17,Short Stories Inspirational,1.08,57,src\ImagesOthers\bookpic2.jpg
10651,CHICKEN SOUP FOR THE SOUL: FIND YOUR HAPPINESS,Jack Canfield,YES,11,Short Stories Inspirational,1.53,10,src\ImagesOthers\bookpic2.jpg
10652,CHICKEN SOUP FOR THE SOUL: FIND YOUR INNER STRENGTH,Jack Canfield,YES,1,Short Stories Inspirational,2.11,80,src\ImagesOthers\bookpic2.jpg
10653,"CHICKEN SOUP FOR THE SOUL: ""FINDING MY FAITH""",Jack Canfield,YES,19,Short Stories Inspirational,1.93,91,src\ImagesOthers\bookpic2.jpg
10654,CHICKEN SOUP FOR THE FISHERMAN'S SOUL,Jack Canfield,YES,17,Short Stories Inspirational,1.6,13,src\ImagesOthers\bookpic2.jpg
10655,CHICKEN SOUP FOR THE SOUL: FOOD AND LOVE,Jack Canfield,YES,12,Short Stories Inspirational,1.27,99,src\ImagesOthers\bookpic2.jpg
10656,CHICKEN SOUP FOR THE GARDENER'S SOUL,Jack Canfield,YES,4,Short Stories Inspirational,2.12,15,src\ImagesOthers\bookpic2.jpg
10657,CHICKEN SOUP FOR THE SOUL: THE GIFT OF CHRISTMAS,Jack Canfield,YES,14,Short Stories Inspirational,1.1,30,src\ImagesOthers\bookpic2.jpg
10658,CHICKEN SOUP FOR THE GIRLFRIEND'S SOUL,Jack Canfield,YES,24,Short Stories Inspirational,4.89,88,src\ImagesOthers\bookpic2.jpg
10659,CHICKEN SOUP FOR THE GIRL'S SOUL,Jack Canfield,YES,9,Short Stories Inspirational,2.48,35,src\ImagesOthers\bookpic2.jpg
10660,CHICKEN SOUP FOR THE GOLDEN SOUL,Jack Canfield,YES,25,Short Stories Inspirational,4.81,11,src\ImagesOthers\bookpic2.jpg
10661,"CHICKEN SOUP FOR THE SOUL ""THE GOLF BOOK""",Jack Canfield,YES,24,Short Stories Inspirational,4.12,93,src\ImagesOthers\bookpic2.jpg
10662,CHICKEN SOUP FOR THE GOLFER'S SOUL,Jack Canfield,YES,18,Short Stories Inspirational,1.01,21,src\ImagesOthers\bookpic2.jpg
10663,CHICKEN SOUP FOR THE GOLFER'S SOUL – THE 2ND ROUND,Jack Canfield,YES,3,Short Stories Inspirational,3.78,59,src\ImagesOthers\bookpic2.jpg
10664,CHICKEN SOUP FOR THE SOUL: GRAND AND GREAT,Jack Canfield,YES,27,Short Stories Inspirational,3.61,13,src\ImagesOthers\bookpic2.jpg
10665,CHICKEN SOUP FOR THE GRANDMA'S SOUL: STORIES TO HONOR AND CELEBRATE THE AGELESS LOVE OF GRANDMOTHERS,Jack Canfield,YES,12,Short Stories Inspirational,3.63,12,src\ImagesOthers\bookpic2.jpg
10666,CHICKEN SOUP FOR THE SOUL TO GRANDMA WITH LOVE,Jack Canfield,YES,11,Short Stories Inspirational,3.44,40,src\ImagesOthers\bookpic2.jpg
10667,CHICKEN SOUP FOR THE GRANDPARENT'S SOUL,Jack Canfield,YES,0,Short Stories Inspirational,5,3,src\ImagesOthers\bookpic2.jpg
10668,CHICKEN SOUP FOR THE GRIEVING SOUL,Jack Canfield,YES,22,Short Stories Inspirational,2.86,41,src\ImagesOthers\bookpic2.jpg
10669,CHICKEN SOUP FOR THE SOUL GRIEVING AND RECOVERY,Jack Canfield,YES,3,Short Stories Inspirational,3.06,85,src\ImagesOthers\bookpic2.jpg
10670,CHICKEN SOUP FOR THE SOUL: HAPPILY EVER AFTER,Jack Canfield,YES,30,Short Stories Inspirational,4.99,36,src\ImagesOthers\bookpic2.jpg
10671,CHICKEN SOUP FOR THE SOUL: HERE COMES THE BRIDE,Jack Canfield,YES,28,Short Stories Inspirational,3.41,12,src\ImagesOthers\bookpic2.jpg
10672,CHICKEN SOUP FOR THE SOUL: HOME SWEET HOME,Jack Canfield,YES,23,Short Stories Inspirational,3.51,28,src\ImagesOthers\bookpic2.jpg
10673,CHICKEN SOUP FOR THE SOUL: HOPE AND MIRACLES,Jack Canfield,YES,7,Short Stories Inspirational,3.18,29,src\ImagesOthers\bookpic2.jpg
10674,CHICKEN SOUP FOR THE HORSE LOVER'S SOUL,Jack Canfield,YES,10,Short Stories Inspirational,3.98,40,src\ImagesOthers\bookpic2.jpg
10675,CHICKEN SOUP FOR THE HORSE LOVER'S SOUL II,Jack Canfield,YES,26,Short Stories Inspirational,2.43,18,src\ImagesOthers\bookpic2.jpg
10676,CHICKEN SOUP FROM THE SOUL OF HAWAII,Jack Canfield,YES,29,Short Stories Inspirational,2.07,1,src\ImagesOthers\bookpic2.jpg
10677,CHICKEN SOUP FOR THE SOUL: HOOKED ON HOCKEY,Jack Canfield,YES,18,Short Stories Inspirational,3.84,26,src\ImagesOthers\bookpic2.jpg
10678,CHICKEN SOUP FOR THE SOUL: I CAN'T BELIEVE MY CAT DID THAT,Jack Canfield,YES,5,Short Stories Inspirational,3.11,29,src\ImagesOthers\bookpic2.jpg
10679,CHICKEN SOUP FOR THE SOUL: I CAN'T BELIEVE MY DOG DID THAT,Jack Canfield,YES,21,Short Stories Inspirational,4.41,66,src\ImagesOthers\bookpic2.jpg
10680,CHICKEN SOUP FOR THE INDIAN TEENAGE SOUL,Jack Canfield,YES,6,Short Stories Inspirational,2.48,67,src\ImagesOthers\bookpic2.jpg
10681,CHICKEN SOUP FOR THE SOUL INSPIRATION FOR THE YOUNG AT HEART,Jack Canfield,YES,16,Short Stories Inspirational,3.42,96,src\ImagesOthers\bookpic2.jpg
10682,CHICKEN SOUP TO INSPIRE THE BODY AND SOUL,Jack Canfield,YES,23,Short Stories Inspirational,4.78,8,src\ImagesOthers\bookpic2.jpg
10683,CHICKEN SOUP FOR THE SOUL: TO INSPIRE A WOMAN'S SOUL,Jack Canfield,YES,16,Short Stories Inspirational,3.99,67,src\ImagesOthers\bookpic2.jpg
10684,CHICKEN SOUP FOR THE SOUL: INSPIRATION FOR NURSES,Jack Canfield,YES,27,Short Stories Inspirational,2.99,28,src\ImagesOthers\bookpic2.jpg
10685,CHICKEN SOUP FOR THE SOUL: IT'S CHRISTMAS,Jack Canfield,YES,15,Short Stories Inspirational,2.46,94,src\ImagesOthers\bookpic2.jpg
10686,CHICKEN SOUP FOR THE JEWISH SOUL,Jack Canfield,YES,7,Short Stories Inspirational,1.87,63,src\ImagesOthers\bookpic2.jpg
10687,CHICKEN SOUP FOR THE SOUL: THE JOY OF ADOPTION,Jack Canfield,YES,5,Short Stories Inspirational,1.72,21,src\ImagesOthers\bookpic2.jpg
10688,CHICKEN SOUP FOR THE SOUL THE JOY OF LESS,Jack Canfield,YES,15,Short Stories Inspirational,1.7,28,src\ImagesOthers\bookpic2.jpg
10689,CHICKEN SOUP FOR THE SOUL: JUST US GIRLS,Jack Canfield,YES,20,Short Stories Inspirational,1.67,87,src\ImagesOthers\bookpic2.jpg
10690,CHICKEN SOUP FOR THE SOUL: KIDS IN THE KITCHEN,Jack Canfield,YES,0,Short Stories Inspirational,1,33,src\ImagesOthers\bookpic2.jpg
10691,CHICKEN SOUP FOR THE KID'S SOUL,Jack Canfield,YES,15,Short Stories Inspirational,2.83,59,src\ImagesOthers\bookpic2.jpg
10692,CHICKEN SOUP FOR THE KID'S SOUL 2,Jack Canfield,YES,22,Short Stories Inspirational,2.15,40,src\ImagesOthers\bookpic2.jpg
10693,CHICKEN SOUP FOR THE LATINO SOUL,Jack Canfield,YES,8,Short Stories Inspirational,3.63,60,src\ImagesOthers\bookpic2.jpg
10694,CHICKEN SOUP FOR THE LATTER-DAY SAINT SOUL,Jack Canfield,YES,28,Short Stories Inspirational,1.04,88,src\ImagesOthers\bookpic2.jpg
10695,CHICKEN SOUP FOR THE SOUL THE LAUGHING SOUL,Jack Canfield,YES,4,Short Stories Inspirational,3.86,44,src\ImagesOthers\bookpic2.jpg
10696,CHICKEN SOUP FOR THE SOUL: LEMONS TO LEMONADE,Jack Canfield,YES,10,Short Stories Inspirational,1.76,6,src\ImagesOthers\bookpic2.jpg
10697,CHICKEN SOUP FOR THE LITTLE SOULS,Jack Canfield,YES,11,Short Stories Inspirational,4.87,13,src\ImagesOthers\bookpic2.jpg
10698,CHICKEN SOUP FOR THE SOUL LIKE MOTHER LIKE DAUGHTER,Jack Canfield,YES,15,Short Stories Inspirational,1.32,39,src\ImagesOthers\bookpic2.jpg
10699,CHICKEN SOUP FOR THE SOUL: LIVING WITH ALZHEIMER'S AND OTHER DEMENTIAS,Jack Canfield,YES,25,Short Stories Inspirational,4.84,11,src\ImagesOthers\bookpic2.jpg
10700,CHICKEN SOUP FOR THE SOUL LOVE STORIES: STORIES OF FIRST DATES SOUL MATES AND EVERLASTING LOVE,Jack Canfield,YES,25,Short Stories Inspirational,3.14,60,src\ImagesOthers\bookpic2.jpg
10701,CHICKEN SOUP FOR THE SOUL: LOVING OUR DOGS,Jack Canfield,YES,4,Short Stories Inspirational,1.2,96,src\ImagesOthers\bookpic2.jpg
10702,CHICKEN SOUP FOR THE SOUL: THE MAGIC OF MOTHERS AND DAUGHTERS,Jack Canfield,YES,15,Short Stories Inspirational,2.21,80,src\ImagesOthers\bookpic2.jpg
10703,CHICKEN SOUP FOR THE SOUL IN MENOPAUSE,Jack Canfield,YES,12,Short Stories Inspirational,3.79,59,src\ImagesOthers\bookpic2.jpg
10704,CHICKEN SOUP FOR THE SOUL MARRIED LIFE,Jack Canfield,YES,4,Short Stories Inspirational,1.46,54,src\ImagesOthers\bookpic2.jpg
10705,CHICKEN SOUP FOR THE SOUL MERRY CHRISTMAS,Jack Canfield,YES,2,Short Stories Inspirational,3.53,75,src\ImagesOthers\bookpic2.jpg
10706,CHICKEN SOUP FOR THE SOUL: MESSAGES FROM HEAVEN,Jack Canfield,YES,7,Short Stories Inspirational,1.32,72,src\ImagesOthers\bookpic2.jpg
10707,CHICKEN SOUP FOR THE MILITARY WIFE'S SOUL,Jack Canfield,YES,9,Short Stories Inspirational,3.74,38,src\ImagesOthers\bookpic2.jpg
10708,CHICKEN SOUP FOR THE SOUL: MIRACULOUS MESSAGES FROM HEAVEN,Jack Canfield,YES,7,Short Stories Inspirational,3.08,77,src\ImagesOthers\bookpic2.jpg
10709,CHICKEN SOUP FOR THE SOUL: MIRACLES HAPPEN,Jack Canfield,YES,15,Short Stories Inspirational,2.95,2,src\ImagesOthers\bookpic2.jpg
10710,CHICKEN SOUP FOR THE SOUL: MOMS AND SONS,Jack Canfield,YES,4,Short Stories Inspirational,1.82,46,src\ImagesOthers\bookpic2.jpg
10711,CHICKEN SOUP FOR THE SOUL TO MOM WITH LOVE,Jack Canfield,YES,1,Short Stories Inspirational,2.52,72,src\ImagesOthers\bookpic2.jpg
10712,CHICKEN SOUP FOR THE MOTHER OF PRESCHOOLER'S SOUL,Jack Canfield,YES,16,Short Stories Inspirational,4.39,33,src\ImagesOthers\bookpic2.jpg
10713,CHICKEN SOUP FOR THE MOTHER'S SOUL,Jack Canfield,YES,30,Short Stories Inspirational,4.04,35,src\ImagesOthers\bookpic2.jpg
10714,CHICKEN SOUP FOR THE MOTHER'S SOUL 2,Jack Canfield,YES,2,Short Stories Inspirational,4.49,84,src\ImagesOthers\bookpic2.jpg
10715,CHICKEN SOUP FOR THE MOTHER AND DAUGHTER SOUL,Jack Canfield,YES,8,Short Stories Inspirational,1.62,21,src\ImagesOthers\bookpic2.jpg
10716,CHICKEN SOUP FOR THE MOTHER AND SON SOUL,Jack Canfield,YES,5,Short Stories Inspirational,4.44,94,src\ImagesOthers\bookpic2.jpg
10717,CHICKEN SOUP FOR THE SOUL: THE MULTITASKING MOM'S SURVIVAL GUIDE,Jack Canfield,YES,3,Short Stories Inspirational,3.69,41,src\ImagesOthers\bookpic2.jpg
10718,CHICKEN SOUP FOR THE SOUL MY VERY GOOD VERY BAD CAT,Jack Canfield,YES,4,Short Stories Inspirational,2.99,86,src\ImagesOthers\bookpic2.jpg
10719,CHICKEN SOUP FOR THE SOUL MY VERY GOOD VERY BAD DOG,Jack Canfield,YES,22,Short Stories Inspirational,1.46,24,src\ImagesOthers\bookpic2.jpg
10720,CHICKEN SOUP FOR THE NASCAR SOUL,Jack Canfield,YES,16,Short Stories Inspirational,4.29,21,src\ImagesOthers\bookpic2.jpg
10721,CHICKEN SOUP FOR THE NATURE LOVER'S SOUL,Jack Canfield,YES,2,Short Stories Inspirational,2.13,85,src\ImagesOthers\bookpic2.jpg
10722,CHICKEN SOUP FOR THE NEW MOM'S SOUL,Jack Canfield,YES,29,Short Stories Inspirational,4.53,99,src\ImagesOthers\bookpic2.jpg
10723,CHICKEN SOUP FOR THE SOUL: NEW MOMS,Jack Canfield,YES,30,Short Stories Inspirational,2.34,92,src\ImagesOthers\bookpic2.jpg
10724,CHICKEN SOUP FOR THE NETWORK MARKETER'S SOUL,Jack Canfield,YES,29,Short Stories Inspirational,1.24,41,src\ImagesOthers\bookpic2.jpg
10725,CHICKEN SOUP FOR THE NURSE'S SOUL,Jack Canfield,YES,23,Short Stories Inspirational,1.52,27,src\ImagesOthers\bookpic2.jpg
10726,CHICKEN SOUP FOR THE NURSE'S SOUL: SECOND DOSE,Jack Canfield,YES,10,Short Stories Inspirational,2.19,33,src\ImagesOthers\bookpic2.jpg
10727,CHICKEN SOUP FOR THE SOUL: O'CANADA THE WONDERS OF WINTER,Jack Canfield,YES,23,Short Stories Inspirational,1.35,40,src\ImagesOthers\bookpic2.jpg
10728,CHICKEN SOUP FOR THE OCEAN LOVER'S SOUL,Jack Canfield,YES,29,Short Stories Inspirational,1.86,30,src\ImagesOthers\bookpic2.jpg
10729,CHICKEN SOUP FOR THE SOUL: OLDER AND WISER,Jack Canfield,YES,7,Short Stories Inspirational,2.34,44,src\ImagesOthers\bookpic2.jpg
10730,CHICKEN SOUP FOR THE PARENT'S SOUL,Jack Canfield,YES,3,Short Stories Inspirational,4.36,89,src\ImagesOthers\bookpic2.jpg
10731,CHICKEN SOUP FOR THE SOUL: PARENTHOOD,Jack Canfield,YES,25,Short Stories Inspirational,2.59,17,src\ImagesOthers\bookpic2.jpg
10732,CHICKEN SOUP FOR THE PRETEEN SOUL,Jack Canfield,YES,22,Short Stories Inspirational,1.85,85,src\ImagesOthers\bookpic2.jpg
10733,CHICKEN SOUP FOR THE PRETEEN SOUL 2,Jack Canfield,YES,18,Short Stories Inspirational,4.79,90,src\ImagesOthers\bookpic2.jpg
10734,CHICKEN SOUP FOR THE SOUL POWER OF GRATITUDE,Jack Canfield,YES,6,Short Stories Inspirational,1.76,62,src\ImagesOthers\bookpic2.jpg
10735,CHICKEN SOUP FOR THE SOUL POWER MOMS,Jack Canfield,YES,15,Short Stories Inspirational,1.8,31,src\ImagesOthers\bookpic2.jpg
10736,CHICKEN SOUP FOR THE PET LOVER'S SOUL,Jack Canfield,YES,16,Short Stories Inspirational,2.08,58,src\ImagesOthers\bookpic2.jpg
10737,CHICKEN SOUP FOR THE SOUL: THE POWER OF FORGIVENESS,Jack Canfield,YES,23,Short Stories Inspirational,4.58,52,src\ImagesOthers\bookpic2.jpg
10738,CHICKEN SOUP FOR THE SOUL: THE POWER OF POSITIVE,Jack Canfield,YES,15,Short Stories Inspirational,4.24,93,src\ImagesOthers\bookpic2.jpg
10739,CHICKEN SOUP FOR THE PRISONER'S SOUL,Jack Canfield,YES,27,Short Stories Inspirational,2.72,95,src\ImagesOthers\bookpic2.jpg
10740,CHICKEN SOUP FOR THE SOUL: REBOOT YOUR LIFE,Jack Canfield,YES,24,Short Stories Inspirational,4.67,57,src\ImagesOthers\bookpic2.jpg
10741,CHICKEN SOUP FOR THE SOUL: RAISING GREAT KIDS,Jack Canfield,YES,16,Short Stories Inspirational,2.87,19,src\ImagesOthers\bookpic2.jpg
10742,CHICKEN SOUP FOR THE SOUL: READER'S CHOICE,Jack Canfield,YES,21,Short Stories Inspirational,4.24,0,src\ImagesOthers\bookpic2.jpg
10743,CHICKEN SOUP FOR THE SOUL: RECOVERING FROM TRAUMATIC BRAIN INJURIES,Jack Canfield,YES,5,Short Stories Inspirational,1.34,61,src\ImagesOthers\bookpic2.jpg
10744,CHICKEN SOUP FOR THE RECOVERING SOUL,Jack Canfield,YES,19,Short Stories Inspirational,1.06,36,src\ImagesOthers\bookpic2.jpg
10745,CHICKEN SOUP FOR THE ROMANTIC SOUL,Jack Canfield,YES,0,Short Stories Inspirational,3.53,54,src\ImagesOthers\bookpic2.jpg
10746,CHICKEN SOUP FOR THE SCRAPBOOKER'S SOUL,Jack Canfield,YES,10,Short Stories Inspirational,3.46,5,src\ImagesOthers\bookpic2.jpg
10747,CHICKEN SOUP FOR THE SHOPPER'S SOUL,Jack Canfield,YES,26,Short Stories Inspirational,1.36,71,src\ImagesOthers\bookpic2.jpg
10748,CHICKEN SOUP FOR THE SINGLE'S SOUL,Jack Canfield,YES,15,Short Stories Inspirational,1.75,79,src\ImagesOthers\bookpic2.jpg
10749,CHICKEN SOUP FOR THE SINGLE PARENT'S SOUL,Jack Canfield,YES,29,Short Stories Inspirational,3.89,81,src\ImagesOthers\bookpic2.jpg
10750,CHICKEN SOUP FOR THE SISTER'S SOUL,Jack Canfield,YES,9,Short Stories Inspirational,2.98,14,src\ImagesOthers\bookpic2.jpg
10751,CHICKEN SOUP FOR THE SISTER'S SOUL 2,Jack Canfield,YES,3,Short Stories Inspirational,1.85,17,src\ImagesOthers\bookpic2.jpg
10752,CHICKEN SOUP FOR THE SPORTS FAN'S SOUL,Jack Canfield,YES,20,Short Stories Inspirational,3.95,82,src\ImagesOthers\bookpic2.jpg
10753,CHICKEN SOUP FOR THE SOUL: STORIES FOR A BETTER WORLD,Jack Canfield,YES,30,Short Stories Inspirational,1.62,19,src\ImagesOthers\bookpic2.jpg
10754,CHICKEN SOUP FOR THE SOUL THE STORY BEHIND THE SONG,Jack Canfield,YES,12,Short Stories Inspirational,3.12,71,src\ImagesOthers\bookpic2.jpg
10755,CHICKEN SOUP FOR THE SOUL: FOR THE SURVIVING SOUL,Jack Canfield,YES,2,Short Stories Inspirational,4.78,70,src\ImagesOthers\bookpic2.jpg
10756,CHICKEN SOUP FOR THE TEA-LOVER'S SOUL,Jack Canfield,YES,20,Short Stories Inspirational,3.14,57,src\ImagesOthers\bookpic2.jpg
10757,CHICKEN SOUP FOR THE SOUL: TEACHER TALES,Jack Canfield,YES,4,Short Stories Inspirational,3,92,src\ImagesOthers\bookpic2.jpg
10758,CHICKEN SOUP FOR THE TEACHER'S SOUL,Jack Canfield,YES,18,Short Stories Inspirational,2.83,68,src\ImagesOthers\bookpic2.jpg
10759,CHICKEN SOUP FOR THE TEEN'S SOUL,Jack Canfield,YES,25,Short Stories Inspirational,3.87,31,src\ImagesOthers\bookpic2.jpg
10760,CHICKEN SOUP FOR THE SOUL: TEENS TALKING FAITH,Jack Canfield,YES,15,Short Stories Inspirational,3.03,96,src\ImagesOthers\bookpic2.jpg
10761,CHICKEN SOUP FOR THE TEENAGE SOUL,Jack Canfield,YES,13,Short Stories Inspirational,2.31,44,src\ImagesOthers\bookpic2.jpg
10762,CHICKEN SOUP FOR THE TEENAGE SOUL II,Jack Canfield,YES,28,Short Stories Inspirational,2,84,src\ImagesOthers\bookpic2.jpg
10763,CHICKEN SOUP FOR THE TEENAGE SOUL III,Jack Canfield,YES,23,Short Stories Inspirational,1.59,89,src\ImagesOthers\bookpic2.jpg
10764,CHICKEN SOUP FOR THE TEENAGE SOUL IV,Jack Canfield,YES,30,Short Stories Inspirational,2.8,21,src\ImagesOthers\bookpic2.jpg
10765,CHICKEN SOUP FOR THE TEENAGE SOUL LETTERS,Jack Canfield,YES,29,Short Stories Inspirational,3.25,30,src\ImagesOthers\bookpic2.jpg
10766,CHICKEN SOUP FOR THE TEENAGE SOUL PERSONAL ORGANIZER,Jack Canfield,YES,24,Short Stories Inspirational,1.68,47,src\ImagesOthers\bookpic2.jpg
10767,CHICKEN SOUP FOR THE TEENAGE SOUL ON LOVE & FRIENDSHIP,Jack Canfield,YES,13,Short Stories Inspirational,1.9,51,src\ImagesOthers\bookpic2.jpg
10768,CHICKEN SOUP FOR THE TEENAGE SOUL ON TOUGH STUFF,Jack Canfield,YES,21,Short Stories Inspirational,3.74,31,src\ImagesOthers\bookpic2.jpg
10769,CHICKEN SOUP FOR THE TEENAGE SOUL: THE REAL DEAL CHALLENGES,Jack Canfield,YES,2,Short Stories Inspirational,3.93,19,src\ImagesOthers\bookpic2.jpg
10770,CHICKEN SOUP FOR THE TEENAGE SOUL: THE REAL DEAL FRIENDS,Jack Canfield,YES,25,Short Stories Inspirational,2.52,35,src\ImagesOthers\bookpic2.jpg
10771,CHICKEN SOUP FOR THE TEENAGE SOUL: THE REAL DEAL SCHOOL,Jack Canfield,YES,18,Short Stories Inspirational,1.43,84,src\ImagesOthers\bookpic2.jpg
10772,CHICKEN SOUP FOR THE TEENAGE SOUL: THINK POSITIVE,Jack Canfield,YES,1,Short Stories Inspirational,4.42,68,src\ImagesOthers\bookpic2.jpg
10773,CHICKEN SOUP FOR THE SOUL: THANKS MOM,Jack Canfield,YES,11,Short Stories Inspirational,3.86,31,src\ImagesOthers\bookpic2.jpg
10774,CHICKEN SOUP FOR THE SOUL: THANKS TO MY MOM,Jack Canfield,YES,14,Short Stories Inspirational,1.65,85,src\ImagesOthers\bookpic2.jpg
10775,CHICKEN SOUP FOR THE SOUL: THINK POSITIVE,Jack Canfield,YES,26,Short Stories Inspirational,4.81,97,src\ImagesOthers\bookpic2.jpg
10776,CHICKEN SOUP FOR THE SOUL THINK POSSIBLE,Jack Canfield,YES,17,Short Stories Inspirational,4.44,53,src\ImagesOthers\bookpic2.jpg
10777,CHICKEN SOUP FOR THE SOUL: THINK POSITIVE FOR KIDS,Jack Canfield,YES,12,Short Stories Inspirational,4.54,48,src\ImagesOthers\bookpic2.jpg
10778,CHICKEN SOUP FOR THE SOUL: TIME TO THRIVE,Jack Canfield,YES,12,Short Stories Inspirational,3.62,10,src\ImagesOthers\bookpic2.jpg
10779,CHICKEN SOUP FOR THE SOUL: TOUCHED BY AN ANGEL,Jack Canfield,YES,20,Short Stories Inspirational,2.66,53,src\ImagesOthers\bookpic2.jpg
10780,CHICKEN SOUP FOR THE SOUL: TOUGH TIMES TOUGH PEOPLE,Jack Canfield,YES,7,Short Stories Inspirational,4.7,68,src\ImagesOthers\bookpic2.jpg
10781,CHICKEN SOUP FOR THE TRAVELER'S SOUL,Jack Canfield,YES,27,Short Stories Inspirational,4.11,6,src\ImagesOthers\bookpic2.jpg
10782,CHICKEN SOUP FOR THE SOUL: A TRIBUTE TO MOMS,Jack Canfield,YES,18,Short Stories Inspirational,1.96,30,src\ImagesOthers\bookpic2.jpg
10783,CHICKEN SOUP FOR THE SOUL: TRUE LOVE,Jack Canfield,YES,3,Short Stories Inspirational,4.93,71,src\ImagesOthers\bookpic2.jpg
10784,CHICKEN SOUP FOR THE SOUL: UNLOCKING THE SECRETS TO LIVING YOUR DREAMS,Jack Canfield,YES,20,Short Stories Inspirational,4.92,10,src\ImagesOthers\bookpic2.jpg
10785,CHICKEN SOUP FOR THE UNSINKABLE SOUL,Jack Canfield,YES,16,Short Stories Inspirational,4.27,8,src\ImagesOthers\bookpic2.jpg
10786,CHICKEN SOUP FOR THE VETERAN'S SOUL,Jack Canfield,YES,29,Short Stories Inspirational,1.9,80,src\ImagesOthers\bookpic2.jpg
10787,CHICKEN SOUP FOR THE VOLUNTEER'S SOUL,Jack Canfield,YES,15,Short Stories Inspirational,1.42,19,src\ImagesOthers\bookpic2.jpg
10788,CHICKEN SOUP FOR THE SOUL: VOLUNTEERING AND GIVING BACK,Jack Canfield,YES,12,Short Stories Inspirational,3.31,62,src\ImagesOthers\bookpic2.jpg
10789,CHICKEN SOUP FOR THE SOUL: WHAT I LEARNED FROM THE DOG,Jack Canfield,YES,10,Short Stories Inspirational,2.73,36,src\ImagesOthers\bookpic2.jpg
10790,CHICKEN SOUP FOR THE WRITER'S SOUL,Jack Canfield,YES,27,Short Stories Inspirational,2.97,43,src\ImagesOthers\bookpic2.jpg
10791,CHICKEN SOUP FOR THE WOMAN'S SOUL,Jack Canfield,YES,26,Short Stories Inspirational,1.94,70,src\ImagesOthers\bookpic2.jpg
10792,CHICKEN SOUP TO INSPIRE A WOMAN'S SOUL,Jack Canfield,YES,14,Short Stories Inspirational,4,41,src\ImagesOthers\bookpic2.jpg
10793,A SECOND CHICKEN SOUP FOR THE WOMAN'S SOUL,Jack Canfield,YES,18,Short Stories Inspirational,1.18,65,src\ImagesOthers\bookpic2.jpg
